timestamp_greece,rss_MB,MemoryObjectSendStream,MemoryObjectStreamState,Event,_AsyncGeneratorContextManager,_GeneratorContextManager,TaskState
2025-10-28 15:52:12,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:17,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:22,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:27,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:33,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:38,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:44,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:49,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:54,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:59,18.1953125,0,0,43,0,79,50
2025-10-28 15:53:05,18.1953125,0,0,43,0,79,50
2025-10-28 15:53:10,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:15,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:20,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:26,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:31,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:36,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:41,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:47,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:52,18.19921875,0,0,43,0,79,50
2025-10-28 15:53:57,18.203125,0,0,43,0,79,50
2025-10-28 15:54:02,18.22265625,0,0,43,0,79,50
2025-10-28 15:54:08,18.23046875,0,0,43,0,79,50
2025-10-28 15:54:13,18.234375,0,0,43,0,79,50
2025-10-28 15:54:18,18.234375,0,0,43,0,79,50
2025-10-28 15:54:23,18.234375,0,0,43,0,79,50
2025-10-28 15:54:28,18.234375,0,0,43,0,79,50
2025-10-28 15:54:34,18.1484375,0,0,43,0,79,50
2025-10-28 15:54:39,18.1484375,0,0,43,0,79,50
2025-10-28 15:54:44,18.1484375,0,0,43,0,79,50
2025-10-28 15:54:49,18.1484375,0,0,43,0,79,50
2025-10-28 15:54:55,18.1484375,0,0,43,0,79,50
2025-10-28 15:55:00,18.1484375,0,0,43,0,79,50
2025-10-28 15:55:05,18.1484375,0,0,43,0,79,50
2025-10-28 15:55:10,18.1484375,0,0,43,0,79,50
2025-10-28 15:55:16,18.1484375,0,0,43,0,79,50
2025-10-28 15:55:21,18.15625,0,0,43,0,79,50
2025-10-28 15:55:26,18.15625,0,0,43,0,79,50
2025-10-28 15:55:32,18.15625,0,0,43,0,79,50
2025-10-28 15:55:37,18.1640625,0,0,43,0,79,50
2025-10-28 15:55:42,18.16796875,0,0,43,0,79,50
2025-10-28 15:55:47,18.171875,0,0,43,0,79,50
2025-10-28 15:55:53,18.171875,0,0,43,0,79,50
2025-10-28 15:55:58,18.17578125,0,0,43,0,79,50
2025-10-28 15:56:03,18.17578125,0,0,43,0,79,50
2025-10-28 15:56:08,18.17578125,0,0,43,0,79,50
2025-10-28 15:56:14,18.17578125,0,0,43,0,79,50
2025-10-28 15:56:19,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:24,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:29,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:35,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:40,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:45,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:51,18.1796875,0,0,43,0,79,50
2025-10-28 15:56:56,18.1796875,0,0,43,0,79,50
2025-10-28 15:57:09,18.1796875,0,0,43,0,79,50
2025-10-28 15:57:14,18.19140625,0,0,43,0,79,50
2025-10-28 15:57:19,18.1953125,0,0,43,0,79,50
2025-10-28 15:57:24,18.1953125,0,0,43,0,79,50
2025-10-28 15:57:30,18.1953125,0,0,43,0,79,50
2025-10-28 15:57:35,18.1953125,0,0,43,0,79,50
2025-10-28 15:57:40,18.1953125,0,0,43,0,79,50
2025-10-28 15:57:46,18.1953125,0,0,43,0,79,50
2025-10-28 15:57:51,18.19921875,0,0,43,0,79,50
2025-10-28 15:57:56,18.19921875,0,0,43,0,79,50
2025-10-28 15:58:01,18.19921875,0,0,43,0,79,50
2025-10-28 15:58:07,18.203125,0,0,43,0,79,50
2025-10-28 15:58:12,18.203125,0,0,43,0,79,50
2025-10-28 15:58:17,18.2109375,0,0,43,0,79,50
2025-10-28 15:58:23,18.2109375,0,0,43,0,79,50
2025-10-28 15:58:28,18.22265625,0,0,43,0,79,50
2025-10-28 15:58:33,18.2265625,0,0,43,0,79,50
2025-10-28 15:58:38,18.2265625,0,0,43,0,79,50
2025-10-28 15:58:44,18.2265625,0,0,43,0,79,50
2025-10-28 15:58:49,18.2265625,0,0,43,0,79,50
2025-10-28 15:58:54,18.2265625,0,0,43,0,79,50
2025-10-28 15:58:59,18.23046875,0,0,43,0,79,50
2025-10-28 15:59:05,18.23046875,0,0,43,0,79,50
2025-10-28 15:59:10,18.23046875,0,0,43,0,79,50
2025-10-28 15:59:15,18.23046875,0,0,43,0,79,50
2025-10-28 15:59:21,18.23046875,0,0,43,0,79,50
2025-10-28 15:59:26,18.23046875,0,0,43,0,79,50
2025-10-28 15:59:31,18.109375,0,0,43,0,79,50
2025-10-28 15:59:36,18.109375,0,0,43,0,79,50
2025-10-28 15:59:42,18.109375,0,0,43,0,79,50
2025-10-28 15:59:47,18.109375,0,0,43,0,79,50
2025-10-28 15:59:52,18.109375,0,0,49,0,79,50
2025-10-28 15:59:57,18.11328125,0,0,49,0,79,50
2025-10-28 16:00:03,18.11328125,0,0,49,0,79,50
2025-10-28 16:00:08,18.11328125,0,0,49,0,79,50
2025-10-28 16:00:13,18.1171875,0,0,49,0,79,50
2025-10-28 16:00:18,18.1171875,0,0,49,0,79,50
2025-10-28 16:00:24,18.1171875,0,0,49,0,79,50
2025-10-28 16:00:29,18.1171875,0,0,49,0,79,50
2025-10-28 16:00:34,18.15625,0,0,49,0,79,50
2025-10-28 16:00:40,18.16015625,0,0,49,0,79,50
2025-10-28 16:00:45,18.16015625,0,0,49,0,79,50
2025-10-28 16:00:50,18.16015625,0,0,49,0,79,50
2025-10-28 16:00:55,18.16015625,0,0,49,0,79,50
2025-10-28 16:01:01,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:06,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:11,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:17,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:22,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:27,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:32,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:38,18.1640625,0,0,49,0,79,50
2025-10-28 16:01:43,18.16796875,0,0,49,0,79,50
2025-10-28 16:01:48,18.16796875,0,0,49,0,79,50
2025-10-28 16:01:53,18.171875,0,0,49,0,79,50
2025-10-28 16:01:58,18.171875,0,0,49,0,79,50
2025-10-28 16:02:04,18.171875,0,0,49,0,79,50
2025-10-28 16:02:09,18.171875,0,0,49,0,79,50
2025-10-28 16:02:14,18.171875,0,0,49,0,79,50
2025-10-28 16:02:19,18.171875,0,0,49,0,79,50
2025-10-28 16:02:25,18.171875,0,0,49,0,79,50
2025-10-28 16:02:30,18.171875,0,0,49,0,79,50
2025-10-28 16:02:35,18.171875,0,0,49,0,79,50
2025-10-28 16:02:40,18.171875,0,0,49,0,79,50
2025-10-28 16:02:46,18.171875,0,0,49,0,79,50
2025-10-28 16:02:51,18.171875,0,0,49,0,79,50
2025-10-28 16:02:56,18.171875,0,0,49,0,79,50
2025-10-28 16:03:01,18.171875,0,0,49,0,79,50
2025-10-28 16:03:07,18.17578125,0,0,49,0,79,50
2025-10-28 16:03:12,18.17578125,0,0,49,0,79,50
2025-10-28 16:03:17,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:22,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:27,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:33,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:38,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:43,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:48,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:54,18.1796875,0,0,49,0,79,50
2025-10-28 16:03:59,18.1796875,0,0,49,0,79,50
2025-10-28 16:04:04,18.1796875,0,0,49,0,79,50
2025-10-28 16:04:09,18.1796875,0,0,49,0,79,50
2025-10-28 16:04:15,18.1796875,0,0,49,0,79,50
2025-10-28 16:04:20,18.1796875,0,0,49,0,79,50
2025-10-28 16:04:25,18.1796875,0,0,49,0,79,50
2025-10-28 16:04:30,18.18359375,0,0,49,0,79,50
2025-10-28 16:04:35,18.11328125,0,0,49,0,79,50
2025-10-28 16:04:41,18.11328125,0,0,49,0,79,50
2025-10-28 16:04:46,18.12109375,0,0,49,0,79,50
2025-10-28 16:04:51,18.12109375,0,0,49,0,79,50
2025-10-28 16:04:56,18.12109375,0,0,49,0,79,50
2025-10-28 16:05:02,18.12109375,0,0,49,0,79,50
2025-10-28 16:05:07,18.12109375,0,0,49,0,79,50
2025-10-28 16:05:12,18.12109375,0,0,49,0,79,50
2025-10-28 16:05:17,18.12109375,0,0,49,0,79,50
2025-10-28 16:05:23,18.125,0,0,49,0,79,50
2025-10-28 16:05:28,18.125,0,0,49,0,79,50
2025-10-28 16:05:33,18.125,0,0,49,0,79,50
2025-10-28 16:05:39,18.125,0,0,49,0,79,50
2025-10-28 16:05:44,18.125,0,0,49,0,79,50
2025-10-28 16:05:49,18.125,0,0,49,0,79,50
2025-10-28 16:05:54,18.125,0,0,49,0,79,50
2025-10-28 16:05:59,18.125,0,0,49,0,79,50
2025-10-28 16:06:05,18.125,0,0,49,0,79,50
2025-10-28 16:06:10,18.125,0,0,49,0,79,50
2025-10-28 16:06:16,18.125,0,0,49,0,79,50
2025-10-28 16:06:21,18.125,0,0,49,0,79,50
2025-10-28 16:06:26,18.12890625,0,0,49,0,79,50
2025-10-28 16:06:32,18.12890625,0,0,49,0,79,50
2025-10-28 16:06:37,18.1328125,0,0,49,0,79,50
2025-10-28 16:06:42,18.1328125,0,0,49,0,79,50
2025-10-28 16:06:47,18.1328125,0,0,49,0,79,50
2025-10-28 16:06:53,18.140625,0,0,49,0,79,50
2025-10-28 16:06:58,18.140625,0,0,49,0,79,50
2025-10-28 16:07:03,18.1484375,0,0,49,0,79,50
2025-10-28 16:07:08,18.15234375,0,0,49,0,79,50
2025-10-28 16:07:14,18.15234375,0,0,49,0,79,50
2025-10-28 16:07:19,18.15625,0,0,49,0,79,50
2025-10-28 16:07:24,18.15625,0,0,49,0,79,50
2025-10-28 16:07:29,18.15625,0,0,49,0,79,50
2025-10-28 16:07:34,18.19921875,0,0,49,0,79,50
2025-10-28 16:07:40,18.19921875,0,0,49,0,79,50
2025-10-28 16:07:45,18.19921875,0,0,49,0,79,50
